user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial
25,inference_affirm,20,0.5971661328291628,0.635,-0.6882743248521096,0.2394368910880188,0.4,0.5,0.019718445544009422,0.735,-0.5344288693001102,0.31583616225755107,0.5,0.5,0.15791808112877553,0.63,-0.6547252231496898,0.19690533806580493,0.5,0.4,0.09845266903290247
25,inference_categories,20,0.5583127784818429,0.69,-0.6870029680624934,0.2985084925077603,0.6,0.5,0.24925424625388012,0.74,-0.5499484065304846,0.39381067613160986,0.5,0.4,0.19690533806580493,0.74,-0.5472203879180539,0.39223543342708345,0.6,0.5,0.2961177167135417
26,choice_only,20,0.5310370330214806,0.73,-0.6797236625142625,0.4468275063723812,0.2,0.4,-0.07658624681380938,0.745,-0.4966373562336446,0.49655068924613716,0.2,0.3,-0.05172465537693141,0.745,-0.4966373562336446,0.49655068924613716,0.2,0.3,-0.05172465537693141
26,inference_affirm,20,0.3996362780764943,0.665,-0.6875502999216687,0.3303526533393367,0.1,0.3,-0.23482367333033166,0.685,-0.6024430825489554,0.25065933284304315,0.1,0.3,-0.2746703335784785,0.535,-0.7479092594923609,0.167560314889643,0.1,0.4,-0.31621984255517854
26,inference_categories,20,0.48212770585533116,0.775,-0.6791357559700554,0.3943797655329402,0.2,0.4,-0.1028101172335299,0.82,-0.4380717563995244,0.3787135572302499,0.2,0.4,-0.11064322138487503,0.76,-0.4996793760538857,0.365771906893245,0.2,0.4,-0.11711404655337748
27,choice_only,20,0.4893206145483182,0.59,-0.6889316777751668,0.3497409741691616,0.6,0.5,0.2748704870845808,0.665,-0.6381835137718948,0.33265135838589577,0.6,0.5,0.26632567919294786,0.665,-0.6381835137718948,0.33265135838589577,0.6,0.5,0.26632567919294786
27,inference_affirm,20,0.797156946771912,0.615,-0.6888972599759594,0.33265135838589577,0.4,0.5,0.0663256791929479,0.625,-0.6623617203192663,0.5277909246552802,0.4,0.4,0.16389546232764013,0.655,-0.6324203070276081,0.48009897363221277,0.6,0.5,0.34004948681610636
27,inference_categories,20,0.5436065554626484,0.595,-0.6885182748448878,0.2782030476345604,0.5,0.4,0.1391015238172802,0.635,-0.655307112543097,0.24640841361918203,0.5,0.4,0.12320420680959102,0.665,-0.5974454787560317,0.3481512424683927,0.5,0.4,0.17407562123419634
28,choice_only,20,0.6572140314658124,0.605,-0.6895126636403586,0.4884629644195356,0.5,0.6,0.2442314822097678,0.705,-0.5692194949220564,0.5488243573611132,0.6,0.7,0.3744121786805566,0.705,-0.5692194949220564,0.5488243573611132,0.6,0.7,0.3744121786805566
28,inference_affirm,20,0.7828540405075415,0.605,-0.6900936241724307,0.31480788011068933,0.3,0.4,-0.042596059944655346,0.645,-0.6217382891825175,0.5311802578858829,0.3,0.4,0.06559012894294142,0.665,-0.5907363814219979,0.627758486592407,0.4,0.5,0.2138792432962035
28,inference_categories,20,0.7875525810653192,0.61,-0.6897928532696601,0.2971637806354589,0.4,0.7,0.04858189031772947,0.6,-0.6693746750205734,0.39652791978544044,0.4,0.5,0.09826395989272024,0.65,-0.608845962524994,0.6212580288910063,0.5,0.6,0.31062901444550317
29,choice_only,20,0.4919607151994663,0.72,-0.6827995452888689,0.572446410890969,0.7,0.7,0.4862232054454845,0.68,-0.5394736313943916,0.5595824466012843,0.7,0.7,0.4797912233006421,0.68,-0.5394736313943916,0.5595824466012843,0.7,0.7,0.4797912233006421
29,inference_affirm,20,0.3161873093973441,0.725,-0.6832006251121742,0.5571704532969686,0.7,0.6,0.47858522664848424,0.775,-0.48744004709413263,0.5627984376737055,0.6,0.5,0.38139921883685274,0.63,-0.6362132645382645,0.4486307546027538,0.6,0.5,0.3243153773013769
29,inference_categories,20,0.13590354089039883,0.825,-0.6799062436708009,0.5708384153547584,0.7,0.7,0.48541920767737917,0.855,-0.3824083420306033,0.5483264778478102,0.7,0.6,0.47416323892390505,0.705,-0.5381992944406032,0.4309428037044373,0.4,0.3,0.11547140185221869
